video_id,team,team_abbreviation,conference,channel_name,channel_id,channel_title,video_title,video_description,published_at,published_date,published_hour,published_month,duration,content_type,message_theme,view_count,like_count,comment_count,like_count_clean,comment_count_clean,engagement_count,engagement_rate,likes_per_1k_views,comments_per_1k_views,views_per_day,comments_pulled,avg_comment_sentiment,positive_comment_pct,neutral_comment_pct,negative_comment_pct,sentiment_bucket,monitoring_priority
jw9aY-tR-Lc,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,LeBron James breaks away for the SLAM #NBAPlayoffs,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw.,2026-05-06T01:09:16Z,2026-05-06,1,2026-05-01,PT8S,Shorts,Playoff Stakes,47229,1160,55,1160,55,1215,0.025725719367337866,24.561180630544794,1.164538736793072,1523.516129032258,31,0.17258064516129032,0.3548387096774194,0.4516129032258064,0.1935483870967742,Positive,Standard
pSTNuSap_l8,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Pregame reps with LeBron in Oklahoma City #lakers #NBAPlayoffs,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw.,2026-05-06T00:05:46Z,2026-05-06,0,2026-05-01,PT25S,Shorts,Playoff Stakes,23566,836,26,836,26,862,0.036578121021811086,35.47483662904184,1.1032843927692437,760.1935483870968,20,0.225,0.35,0.4,0.25,Positive,Standard
XMNTcrmk4j0,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Lakers 2026 Playoff Hype | Repetition Reveals Greatness,"The Los Angeles Lakers prepare for the Western Conference Semifinals against the Oklahoma City Thunder. LeBron, Austin, JJ ...",2026-05-05T15:00:56Z,2026-05-05,15,2026-05-01,PT53S,Shorts,Playoff Stakes,267463,455,54,455,54,509,0.0019030669662719703,1.7011698814415452,0.20189708483042515,8358.21875,49,0.186734693877551,0.40816326530612246,0.32653061224489793,0.2653061224489796,Positive,Standard
1le07UGVq2A,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Surprised the squad with frames from Round 1 of the NBA Playoffs #Lakers,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw.,2026-05-05T01:15:00Z,2026-05-05,1,2026-05-01,PT21S,Shorts,Playoff Stakes,168170,4137,88,4137,88,4225,0.025123387048819647,24.600107034548373,0.523280014271273,5255.3125,49,0.376530612244898,0.5102040816326531,0.42857142857142855,0.06122448979591836,Positive,Standard
_-pAu0_7BCg,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Luke hit HOW MANY threes in a row? #lakers #NBAPlayoffs,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw.,2026-05-04T22:15:02Z,2026-05-04,22,2026-05-01,PT43S,Shorts,Playoff Stakes,22777,837,37,837,37,874,0.0383720419721649,36.747596259384466,1.6244457127804364,690.2121212121212,28,-0.01785714285714285,0.25,0.5714285714285714,0.17857142857142858,Neutral,Standard
Ttn--YeN86E,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Marcus Smart is made for the Playoffs #lakers #NBA,Subscribe for the latest Lakers' content: https://www.youtube.com/channel/UC8CSt-oVqy8pUAoKSApTxQw.,2026-05-04T20:08:25Z,2026-05-04,20,2026-05-01,PT59S,Shorts,Playoff Stakes,23606,1118,28,1118,28,1146,0.04854697958146234,47.36084046428874,1.1861391171736,715.3333333333334,26,0.5692307692307692,0.6153846153846154,0.34615384615384615,0.03846153846153846,Positive,Standard
bbVyHwOi92w,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,How Marcus Smart is Setting the Tone for the Lakers in the Playoffs,"Marcus Smart sits down for an exclusive BTS interview during the NBA Playoffs, discussing his veteran leadership, playing with ...",2026-05-04T20:00:56Z,2026-05-04,20,2026-05-01,PT5M53S,Other,Playoff Stakes,165514,1028,78,1028,78,1106,0.006682214193361287,6.210954964534722,0.47125922882656457,5015.575757575758,50,0.496,0.7,0.2,0.1,Positive,Standard
f-4fws3zf3A,Golden State Warriors,GSW,West,Golden State Warriors,UCeYc_OjHs3QNxIjti2whKzg,Golden State Warriors,"Stephen Curry's 2025-26 Season, Except It's Just the Memes 🤣",Stephen Curry is iconic on and off the court. Take a look back at his funniest moments from the 2025-26 NBA season.,2026-05-29T16:15:32Z,2026-05-29,16,2026-05-01,PT6M20S,Other,Star Player,8130,414,19,414,19,433,0.053259532595325954,50.92250922509225,2.337023370233702,1016.25,15,0.6966666666666667,0.8666666666666667,0.06666666666666667,0.06666666666666667,Positive,Standard
xWkbIrVYaz8,Golden State Warriors,GSW,West,Golden State Warriors,UCeYc_OjHs3QNxIjti2whKzg,Golden State Warriors,Stephen Curry Core 🤣 | #shorts,NA,2026-05-29T16:15:31Z,2026-05-29,16,2026-05-01,PT44S,Shorts,Star Player,246388,10367,68,10367,68,10435,0.042351900254882544,42.075912787960455,0.27598746692209036,30798.5,46,0.175,0.2826086956521739,0.6086956521739131,0.10869565217391304,Positive,Standard
lfoK5vSO8rc,Golden State Warriors,GSW,West,Golden State Warriors,UCeYc_OjHs3QNxIjti2whKzg,Golden State Warriors,The 55th Pick in the Draft Wasn't Supposed To Be THIS Good,"From Brazil to the Bay, Gui Santos has made a name for himself as a crucial part of the Warriors' rotation. Learn how Gui leveled ...",2026-05-26T22:00:06Z,2026-05-26,22,2026-05-01,PT10M18S,Other,Rookie/Development,44487,4379,205,4379,205,4584,0.10304133791894261,98.43325016296896,4.6080877559736555,4044.2727272727275,50,0.53,0.4,0.54,0.06,Positive,High Engagement
uh-MW8UydIg,Golden State Warriors,GSW,West,Golden State Warriors,UCeYc_OjHs3QNxIjti2whKzg,Golden State Warriors,EVERY Pat Spencer Bucket of His Breakout 2025-26 Season,Pat Spencer had himself a year for the Golden State Warriors. Take a look back at EVERY made basket from him in his breakout ...,2026-05-21T20:00:35Z,2026-05-21,20,2026-05-01,PT35M59S,Other,General Team Content,3650,185,27,185,27,212,0.05808219178082192,50.68493150684932,7.397260273972602,228.125,11,0.14545454545454545,0.3636363636363637,0.4545454545454546,0.18181818181818185,Neutral,Standard
Yzf-NSLgMpI,Golden State Warriors,GSW,West,Golden State Warriors,UCeYc_OjHs3QNxIjti2whKzg,Golden State Warriors,Gui Santos' Journey Has Been Special to Watch | #shorts,"Every step, every rep, every moment. Gui's journey has been special to watch.",2026-05-19T18:13:24Z,2026-05-19,18,2026-05-01,PT1M3S,Shorts,General Team Content,20267,1939,9,1939,9,1948,0.096116840183549615,95.67276853999111,0.4440716435584941,1125.9444444444443,9,0.3388888888888889,0.5555555555555556,0.3333333333333333,0.1111111111111111,Positive,High Engagement
8T9wY4LsP0I,Golden State Warriors,GSW,West,Golden State Warriors,UCeYc_OjHs3QNxIjti2whKzg,Golden State Warriors,Steve Kerr Press Conference on Re-Signing with the Warriors,Steve Kerr spoke with the media on his return to coach the Golden State Warriors and his expectations for the 2026-27 season ...,2026-05-15T22:55:09Z,2026-05-15,22,2026-05-01,PT36M33S,Interview/Press,Coach/Leadership,58748,1181,307,1181,307,1488,0.025328521822019473,20.102812010621637,5.225709811397834,2670.3636363636365,50,0.717,0.7,0.16,0.14,Positive,Standard
dICaX7cjeYQ,Golden State Warriors,GSW,West,Golden State Warriors,UCeYc_OjHs3QNxIjti2whKzg,Golden State Warriors,Mike Dunleavy Press Conference | Offseason Preview,"Golden State Warriors General Manager Mike Dunleavy spoke with the media to talk Steve Kerr's return, the 11th pick in the draft ...",2026-05-15T22:13:43Z,2026-05-15,22,2026-05-01,PT21M22S,Interview/Press,General Team Content,16130,325,129,325,129,454,0.02814631122132672,20.148791072535648,7.9975201487910725,733.1818181818181,50,0.329,0.48,0.18,0.34,Positive,High Negative Sentiment
habC39Drt_Q,Golden State Warriors,GSW,West,Golden State Warriors,UCeYc_OjHs3QNxIjti2whKzg,Golden State Warriors,Mo Money is Always Ready 👀 | #shorts,NA,2026-05-15T18:36:51Z,2026-05-15,18,2026-05-01,PT55S,Shorts,General Team Content,14637,1418,17,1418,17,1435,0.09803921568627451,96.87777550044407,1.1614401858304297,665.3181818181819,14,0.03928571428571426,0.35714285714285715,0.21428571428571427,0.42857142857142855,Neutral,High Engagement / High Negative Sentiment
