video_id,comment_id,comment_text,comment_like_count,comment_published_at,team,team_abbreviation,conference,channel_title,video_title,published_at
jpVaQbN7Tso,UgwwIEx0Qv3ttxjueXZ4AaABAg,Is that why Philly beat u in round one buddy,0,2026-05-29T19:07:07Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
5ibmx6KYoaU,UgxYgFm4GkgU1PxLo9h4AaABAg,He will be 10 times better next season ☘️☘️☘️,10,2026-05-27T14:31:13Z,Boston Celtics,BOS,East,Boston Celtics,Neemi went next level this season 📈 #celtics #nba #shorts,2026-05-27T14:00:02Z
5ibmx6KYoaU,Ugx5ID6GkXAbAfXfTcF4AaABAg,Yea he did 😁🍀,3,2026-05-27T16:30:51Z,Boston Celtics,BOS,East,Boston Celtics,Neemi went next level this season 📈 #celtics #nba #shorts,2026-05-27T14:00:02Z
5ibmx6KYoaU,Ugwv68ZFpZYAqPxnigp4AaABAg,Fr,2,2026-05-27T14:20:50Z,Boston Celtics,BOS,East,Boston Celtics,Neemi went next level this season 📈 #celtics #nba #shorts,2026-05-27T14:00:02Z
5ibmx6KYoaU,UgyPxgfFyTVfi6mer8t4AaABAg,Very unexpected,2,2026-05-27T15:20:32Z,Boston Celtics,BOS,East,Boston Celtics,Neemi went next level this season 📈 #celtics #nba #shorts,2026-05-27T14:00:02Z
5ibmx6KYoaU,Ugz8Z8aa-NNX2djd5lV4AaABAg,Can we please do a Luka Garza edit,4,2026-05-27T14:15:28Z,Boston Celtics,BOS,East,Boston Celtics,Neemi went next level this season 📈 #celtics #nba #shorts,2026-05-27T14:00:02Z
5ibmx6KYoaU,UgzZUOqW3Ymd6nggtJt4AaABAg,Best Center in the League,2,2026-05-27T19:11:16Z,Boston Celtics,BOS,East,Boston Celtics,Neemi went next level this season 📈 #celtics #nba #shorts,2026-05-27T14:00:02Z
w6isG_ex59M,Ugx34ffXZDxT-MbU4LJ4AaABAg,Let’s Go Boston We Will Be Back Next Year!!😊💚,3,2026-05-26T21:08:11Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,Ugxndy-sePWdY_kwvrB4AaABAg,We came up short this year we’ll come back better & stronger next season~LFG👊🏻Forever a Celtics fan!!☘️🏀💚,2,2026-05-26T21:37:05Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,UgzDPy6k-Q8PYSEa4Al4AaABAg,☘,1,2026-05-26T23:59:37Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,UgwKPUV2cHQVwOBl1YN4AaABAg,Boston the best team in nba☘️💚,0,2026-05-28T17:32:05Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,UgweS8-76G7FJnvA1kR4AaABAg,First,2,2026-05-26T21:02:58Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,Ugwzn53Cu9OsRsIT9T14AaABAg,"Trade this guy, he's hot 1 in 20 games.",0,2026-05-27T05:15:05Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,UgyoOQ8ybrYIEQdF8DR4AaABAg,He’s getting traded then I see,0,2026-05-26T23:39:05Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,Ugzr7kJRIGhoYGQdNc94AaABAg,Not the best season,1,2026-05-26T21:28:47Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,UgycngciXFvX3CNXCtB4AaABAg,Bum.  Would rather have the cap space 😭,0,2026-05-28T00:28:38Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,Ugwqb-hZIINmC6-CloN4AaABAg,Sam has run his race in Boston time to move on,0,2026-05-27T13:21:24Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
w6isG_ex59M,Ugwx2AEvWybN7DC2JtZ4AaABAg,"What is this zoomed in, low res, low framerate garbage?",0,2026-05-27T05:14:41Z,Boston Celtics,BOS,East,Boston Celtics,Sam Hauser 2026-2026 Full Season Highlights,2026-05-26T21:00:23Z
04F0ex8JSn8,UgyPUGnHYH0hcOymlHt4AaABAg,That was a great game I thought myself he was going to get some thing 👍🍀🍀,1,2026-05-26T18:22:00Z,Boston Celtics,BOS,East,Boston Celtics,Robert Parish Punches Bill Laimbeer in Game 5 of 1987 Eastern Conference Finals,2026-05-26T17:04:17Z
04F0ex8JSn8,Ugxr53lo0SSpFIEd0Jd4AaABAg,☘,1,2026-05-26T23:38:20Z,Boston Celtics,BOS,East,Boston Celtics,Robert Parish Punches Bill Laimbeer in Game 5 of 1987 Eastern Conference Finals,2026-05-26T17:04:17Z
04F0ex8JSn8,Ugy9OEZcuUZLro9JQCt4AaABAg,Half the NBA probably called Parish to congratulate him the next day.,0,2026-05-27T01:01:19Z,Boston Celtics,BOS,East,Boston Celtics,Robert Parish Punches Bill Laimbeer in Game 5 of 1987 Eastern Conference Finals,2026-05-26T17:04:17Z
04F0ex8JSn8,UgzwbcVntIAYOVUgGiV4AaABAg,Caitlin Clark needs a defender of her like that,0,2026-05-27T01:24:50Z,Boston Celtics,BOS,East,Boston Celtics,Robert Parish Punches Bill Laimbeer in Game 5 of 1987 Eastern Conference Finals,2026-05-26T17:04:17Z
04F0ex8JSn8,UgxLAadkR_XkB9lJgnB4AaABAg,#0 is up there in the rafters?   Fire this guy.,0,2026-05-26T20:45:21Z,Boston Celtics,BOS,East,Boston Celtics,Robert Parish Punches Bill Laimbeer in Game 5 of 1987 Eastern Conference Finals,2026-05-26T17:04:17Z
_od_DR7NUVA,UgyqAvQeBQRIumOryfZ4AaABAg,Good season Payton 🍀🍀,2,2026-05-24T15:59:34Z,Boston Celtics,BOS,East,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,2026-05-24T12:30:05Z
_od_DR7NUVA,UgyC_rlsfkAxl-i1Ir54AaABAg,PAYTON💥☘,2,2026-05-24T17:26:00Z,Boston Celtics,BOS,East,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,2026-05-24T12:30:05Z
_od_DR7NUVA,UgwlE7TYZ6QC0X7T9AN4AaABAg,He's probably the Celtics' best bargain with a low salary and high efficiency! He'll command the bench very well! 🍀☘🍀,3,2026-05-24T13:09:49Z,Boston Celtics,BOS,East,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,2026-05-24T12:30:05Z
_od_DR7NUVA,UgypKgvwtCPioPq09Ct4AaABAg,"Pritchard Magic, baby! ☘️🍀☘️🍀",2,2026-05-24T12:35:06Z,Boston Celtics,BOS,East,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,2026-05-24T12:30:05Z
_od_DR7NUVA,Ugy7QIpAmelpZOzCEtJ4AaABAg,lets goooooo,1,2026-05-24T20:59:55Z,Boston Celtics,BOS,East,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,2026-05-24T12:30:05Z
_od_DR7NUVA,UgxnIGTHdMCJOUZQ-Cl4AaABAg,Damn,2,2026-05-24T12:51:30Z,Boston Celtics,BOS,East,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,2026-05-24T12:30:05Z
_od_DR7NUVA,UgyEFihr2_CyO_bZbD94AaABAg,BUILD the team AROUND THIS PLAYER!,0,2026-05-25T10:41:14Z,Boston Celtics,BOS,East,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,2026-05-24T12:30:05Z
